collection,link_path,link_type,linking_record_sample,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b12,b16,b32,b64,b128,b256,b512,b1024,b4096,b16384,b65535,b262144,bmax
"xyz.statusphere.link",".url","uri","at://did:plc:qjofkylwgznjcni7aywlpox3/xyz.statusphere.link/3lhatic3xas23",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bluepic.feed.like",".userId","did","at://did:plc:5knctak6obvqpulvxfww2b4x/app.bluepic.feed.like/3lihqivgs422x",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"network.comind.blips.concept",".uri","uri","at://did:plc:ljcmm7vvxki72g3j6rono6sa/network.comind.blips.concept/contentment",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"place.stream.livestream",".url","uri","at://did:plc:ee3n2hs2wkgrkskrz6whzrfs/place.stream.livestream/3limqlvovc22b",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"app.bsky.graph.listItem",".listUri","at-uri","at://did:plc:6p7fvav7ldb43pokmmpgakpw/app.bsky.graph.listItem/3liaxmfkwou2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"app.bsky.graph.list",".posts[].comments[].author","did","at://did:plc:akf5vb5xpceiltp2jdzr32ql/app.bsky.graph.list/3li3ip42c5z24",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.parent.blocks[].labels[]","uri","",4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ge.shadowcaster.dev.board.channel.3lgll4xbckc2x.messages",".channel","at-uri","at://did:plc:gdbw3mid53ebnu55rjdmz4vz/ge.shadowcaster.dev.board.channel.3lgll4xbckc2x.messages/3lh4uaoreyc2x",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"space.aoisora.bookmark",".uri","at-uri","at://did:plc:ilxxgyz7oz7mysber4omeqrg/space.aoisora.bookmark/3jukxsobxyl26",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.author.did","did","at://did:plc:4q3rivxbikxvvcqg2zpjzhxa/app.bsky.feed.post/3li422k5crq2e",3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"network.comind.link",".source.uri","at-uri","at://did:plc:ljcmm7vvxki72g3j6rono6sa/network.comind.link/3lilke2e52i2m",138,14,11,18,24,39,15,21,85,11,17,64,22,1,0,0,0,0,1,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].postUri","did","",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev.jakestout.atguilds.guild",".leader","did","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.external.image","uri","at://did:plc:vwcydbgxgfff522isbe6ztf3/app.bsky.feed.post/3lily5py5yb2x",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.ngrok-free.bf9f-2a02-6b67-d942-e300-d453-2fcf-ea9f-1051.entry",".id","uri","at://did:plc:iuxkmtq54kuy4hu3wa3kge6d/app.ngrok-free.bf9f-2a02-6b67-d942-e300-d453-2fcf-ea9f-1051.entry/3li4kizt6lj2j",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".displayName","uri","",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".url","uri","at://did:plc:vgl2fws7ffykzpdqqo4shf2y/app.bsky.feed.post/3lgyz3dvatb25",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].creator.did","did","",1406,324,127,40,42,24,19,9,8,10,14,23,24,15,7,8,1,1,2,0,0,0,0
"blue.maril.stellar.reaction",".emoji.repo","did","at://did:plc:uixgxpiqf4i63p6rgpu7ytmx/blue.maril.stellar.reaction/3li6z5vf4zk2l",4,5,2,0,0,1,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"jp.5leaf.sync.mastodon",".root.uri","at-uri","at://did:plc:7pzlgtbxmh3q3sbd3tzmgkgb/jp.5leaf.sync.mastodon/3979aa43a1597dc",32408,2399,303,161,15,23,2,8,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0
"xyz.statusphere.status",".$hist[].uri","at-uri","at://did:plc:2jtyqespp2zfodukwvktqwe6/xyz.statusphere.status/3lhakxyvjuk2o",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.verdverm.test.comment",".$hist[].uri","at-uri","at://did:plc:2jtyqespp2zfodukwvktqwe6/com.verdverm.test.comment/3li7o6kioai2j",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.record.record.embed.images[].thumb","uri","at://did:plc:snod3ilumvylimodptbpoo53/app.bsky.feed.post/3lilhrvnrvc23",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.icymi.post",".media[].url","uri","at://did:plc:ld4vcqhi22aypu2hyppf54gq/app.icymi.post/3lgzl4soxrs23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.embed.images[].fullsize","uri","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].uri","at-uri","",2715,552,190,71,56,28,30,7,7,7,14,29,26,29,12,6,6,3,2,0,0,0,0
"app.rocksky.shout",".parent.uri","at-uri","at://did:plc:7vdlgi2bflelz7mmuxoqjfcr/app.rocksky.shout/3lickerhwzs2f",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".descriptionFacets[app.bsky.richtext.facet].features[app.bsky.richtext.facet#mention].did","did","at://did:plc:5r76me2ldrl2bk76ir34tb3y/app.bsky.feed.generator/18c8b273d8cfdc2",4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ge.shadowcaster.dev.board.channel.3lh4uddvbzk2x.notifications",".subject.did","did","at://did:plc:gdbw3mid53ebnu55rjdmz4vz/ge.shadowcaster.dev.board.channel.3lh4uddvbzk2x.notifications/3lh4udkowuk2x",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.ngrok-free.f217-185-199-103-138.entry",".id","uri","at://did:plc:iuxkmtq54kuy4hu3wa3kge6d/app.ngrok-free.f217-185-199-103-138.entry/automerge:bu84rogAu9q6wZJUP7T8NTUZhmZ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.list",".name","uri","at://did:plc:qqkdmmveqyvqgcn7etrvhlfh/app.bsky.graph.list/3lhcvnoig422s",23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.reply.root.record.reply.root.uri","at-uri","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.parent.value.reply.parent.value.embed.record.record.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.record.facets[app.bsky.richtext.facet].features[app.bsky.richtext.facet#mention].did","did","at://did:plc:4q3rivxbikxvvcqg2zpjzhxa/app.bsky.feed.post/3li42gypnah23",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"chat.tinychat.core.message",".facets[app.bsky.richtext.facet].features[app.bsky.richtext.facet#mention].did","did","at://did:plc:ubdeopbbkbgedccgbum7dhsh/chat.tinychat.core.message/3likgz4xy562b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.listitem",".subject","did","at://did:plc:ugsb6vq3dn7iio3ywmtpdiay/app.bsky.graph.listitem/3lihy6twoln2g",1048326,227034,95326,48928,29647,33430,19742,13464,10121,7541,10296,11222,13276,4346,1594,622,261,126,66,5,0,0,0
"app.bsky.actor.profile",".bridgyOriginalUrl","uri","at://did:plc:3dvmsoqe3izvg7vfpv5zq4qk/app.bsky.actor.profile/self",4712,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uk.skyblur.post",".additional","uri","at://did:plc:km5zqksioyzojc4sy65eamui/uk.skyblur.post/3li6xyujbfs2i",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].listUri","uri","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.reply.root.embed.images[].fullsize","uri","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.unfollow",".subject","did","at://did:plc:u62kj3unn2ijhv4xqfm2wnu7/app.bsky.graph.unfollow/3li4wpbutnn2a",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.author.did","did","at://did:plc:4q3rivxbikxvvcqg2zpjzhxa/app.bsky.feed.post/3li42gypnah23",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"tools.skybox.experimental.storedThread",".blobs.a89bb69f-770c-4c74-a1bf-37bd8998a1ee.did","did","at://did:plc:uct3bao7kcn6ioaktrpwdyl7/tools.skybox.experimental.storedThread/3lil77qjnic2n",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.list",".posts[].author.did","did","at://did:plc:akf5vb5xpceiltp2jdzr32ql/app.bsky.graph.list/3likr36hqaz2w",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].did","at-uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].listUri","at-uri","",1295,176,67,33,18,19,15,7,8,1,7,6,7,1,0,0,0,0,0,0,0,0,0
"network.comind.link",".source.uri","uri","at://did:plc:ljcmm7vvxki72g3j6rono6sa/network.comind.link/3lil6sglp5t23",0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.facets[app.bsky.richtext.facet].features[app.bsky.richtext.facet#mention].did","did","at://did:plc:4q3rivxbikxvvcqg2zpjzhxa/app.bsky.feed.post/3li3vu6j7xy2a",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"blue.riff.track",".artwork","uri","at://did:plc:xewiqn7jhknfa2bw55zm6dny/blue.riff.track/3lh6ij7szn22g",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lol.atmogus.activity.presences",".presences[].presences[lol.atmogus.defs.activity#presence].assets.largeImage","uri","at://did:plc:tshzimytn4vesorvxd45kjn7/lol.atmogus.activity.presences/3li4xv4fh72iz",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uk.skyblur.post",".uri","at-uri","at://did:plc:2273uthh7ojdj4lpoz3yttp7/uk.skyblur.post/3lh3fdutyx22j",1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.record.record.author.avatar","uri","at://did:plc:snod3ilumvylimodptbpoo53/app.bsky.feed.post/3lilhrvnrvc23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.external.description","uri","at://did:plc:oynveponeu4ikhapjasrss5z/app.bsky.feed.post/3lherdmmk3k22",65014,2121,287,86,50,32,21,20,13,10,11,19,66,5,1,1,1,0,0,0,0,0,0
"app.bsky.graph.list",".descriptionFacets[].features[].uri","uri","at://did:plc:fgnbdrdy546tpm7b6d7jpmo2/app.bsky.graph.list/3lgxmekaysf2j",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue.badge.collection",".proof.k","uri","at://did:plc:rgdcflm4ylsl6udghmtblydc/blue.badge.collection/3liorb5cotl2i",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.root.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev.jakestout.atguilds.guildMemberClaim",".guildUri","at-uri","at://did:plc:bpotnohnlgcj3fbmp7ugx4en/dev.jakestout.atguilds.guildMemberClaim/3lhbefvjafd27",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.reply.root.author.avatar","uri","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.parent.blocks[].postUri","uri","at://did:plc:u6pptemi7dfcdy5znoopnbhm/app.bsky.feed.generator/aaaalybbrstcq",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.listItem",".subject","did","at://did:plc:6p7fvav7ldb43pokmmpgakpw/app.bsky.graph.listItem/3liaxlsk6ep2h",13,11,40,8,10,171,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.root.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".facets[app.bsky.richtext.facet#link].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:4im7l5nkxus56s7hh3krgtsr/app.bsky.feed.post/3lhf462eds62o",45,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".skeetsAppHistory.data[].2025-02-13T07:17:30.346Z","uri","at://did:plc:mhbzx6po6y2b3c2qjmf3i36r/app.bsky.feed.post/3li25gy3as42s",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.actor.profile",".displayName","uri","",275,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.listitem",".list","at-uri","at://did:web:zio.sh/app.bsky.graph.listitem/3lhkd77f5cu2l",52659,25073,15963,10901,8159,6453,4997,7437,4533,3778,6192,8635,15126,12404,3322,1990,341,137,136,29,16,1,1
"app.christensen.wtf.post",".createdBy","did","at://did:plc:gus3rlkpebpdoyfsykgi457p/app.christensen.wtf.post/3liaaq54eak2n",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.rocksky.song",".artist","uri","at://did:plc:7vdlgi2bflelz7mmuxoqjfcr/app.rocksky.song/3lhtyvei7x22h",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.labeler.service",".policies.labelValueDefinitions[].locales[].description","uri","",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chat.tinychat.core.message",".facets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:ubdeopbbkbgedccgbum7dhsh/chat.tinychat.core.message/3likgz4xy562b",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".service","uri","at://did:plc:2c7szacxx7zpga7xo2zcydqd/app.bsky.feed.generator/trending-finance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.actor.profile",".labels.values[].uri","at-uri","at://did:plc:3ka3ipkwrykl66er7eeql3e5/app.bsky.actor.profile/self",38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.newdin.storyline",".story","at-uri","",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"li.plonk.comment",".post.uri","at-uri","at://did:plc:qfpnj4og54vl56wngdriaxug/li.plonk.comment/3lia6646im22z",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"live.grayhaze.interaction.chat",".stream.uri","at-uri","at://did:plc:tqlrqm7siq2ztpmvkyfqwzuy/live.grayhaze.interaction.chat/3lhk2bgr7sd27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.record.reply.parent.uri","at-uri","at://did:plc:4x27xkw7cb7ysswmk2pdbip5/app.bsky.feed.post/3lhjqvl67w422",26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.record.reply.root.record.reply.parent.uri","at-uri","at://did:plc:q6lzfo6rbsycgpluhcqv3344/app.bsky.feed.post/3limrddh4pk23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.reply.parent.value.reply.root.value.embed.record.record.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvcgblkc22i",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ge.shadowcaster.dev.board.channel.3lgll4xbckc2x.members",".channelUri","at-uri","at://did:plc:gdbw3mid53ebnu55rjdmz4vz/ge.shadowcaster.dev.board.channel.3lgll4xbckc2x.members/3lh4u5siwhs2x",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"space.polypod.pinkgill.instance",".tile","at-uri","at://did:plc:izttpdp3l6vss5crelt5kcux/space.polypod.pinkgill.instance/3lhe26egmec2w",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chat.tinychat.core.message",".reply.root.uri","at-uri","at://did:plc:ubdeopbbkbgedccgbum7dhsh/chat.tinychat.core.message/3lgxlrd6xgc2b",404,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"network.comind.blips.memory",".uri","uri","at://did:plc:ljcmm7vvxki72g3j6rono6sa/network.comind.blips.memory/067b3e9f-8256-72e1-8000-8c122fc8888a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.vercel.content-archive.entry",".id","uri","at://did:plc:iuxkmtq54kuy4hu3wa3kge6d/app.vercel.content-archive.entry/3li4pr7qnht2f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.christensen.wtf.comment",".root.uri","at-uri","at://did:plc:gus3rlkpebpdoyfsykgi457p/app.christensen.wtf.comment/3li66jmaqnc2n",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.verdverm.test.comment",".$orig.uri","at-uri","at://did:plc:2jtyqespp2zfodukwvktqwe6/com.verdverm.test.comment/3li7o6kioai2j",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".feedUrl","uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sh.tangled.knot.member",".member","did","at://did:plc:qfpnj4og54vl56wngdriaxug/sh.tangled.knot.member/abb9a472-e4b9-4dc9-946b-beb582513f8b",2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].avatar","uri","",1562,319,93,49,26,22,11,12,6,3,9,13,29,14,4,2,1,0,0,0,0,0,0
"app.bsky.feed.post",".tags[]","uri","at://did:plc:yrsy5ti7krb6pbvrybo5qyoa/app.bsky.feed.post/3likbbabtmj62",27,6,2,1,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].did","did","",38,11,4,3,1,1,1,0,1,1,1,3,3,3,3,3,0,2,2,1,0,0,0
"us.polhem.blog.post",".tags[]","at-uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].creator.avatar","uri","",1419,328,129,38,41,21,20,10,8,9,14,22,25,17,5,8,1,1,2,0,0,0,0
